isbn,title,subtitle,description,authors,subjects,publisher,publish_date,cover
9780593334836,Book Lovers,,"While on vacation in North Carolina, a literary agent keeps running into an editor.",Emily Henry,nyt:combined-print-and-e-book-fiction=2022-05-22;New York Times bestseller,Penguin Publishing Group,2022,https://covers.openlibrary.org/b/id/12738706-L.jpg
9780735219106,Where the Crawdads Sing,,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",Delia Owens,"Fiction, coming of age;North carolina, fiction;Fiction, mystery & detective, historical;nyt:trade-fiction-paperback=2021-04-18;New York Times bestseller",G.P. Putnam's Sons,"Mar 30, 2021",https://covers.openlibrary.org/b/id/10671924-L.jpg
9781538724736,Verity,,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,Colleen Hoover,nyt:trade-fiction-paperback=2021-08-22;New York Times bestseller,Grand Central Publishing,"Oct 26, 2021",https://covers.openlibrary.org/b/id/12317944-L.jpg
9780316499378,22 Seconds,,The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,"Patterson, James;Maxine Paetro",nyt:combined-print-and-e-book-fiction=2022-05-22;New York Times bestseller,Little Brown & Company,2022,https://covers.openlibrary.org/b/id/12727530-L.jpg
9781984806758,People We Meet On Vacation,,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,Emily Henry,"nyt:combined-print-and-e-book-fiction=2021-05-30;New York Times bestseller;Fiction, romance, contemporary;Fiction, women",Berkley Books,"May 11, 2021",https://covers.openlibrary.org/b/id/10476782-L.jpg
9781538719770,David Baldacci Spring 2022,,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",David Baldacci;David Baldacci,nyt:combined-print-and-e-book-fiction=2022-05-08;New York Times bestseller,Grand Central Publishing,"Apr 19, 2022",https://covers.openlibrary.org/b/id/12717202-L.jpg
9781501133572,Last Summer,A Novel,A wedding between Ruby Danhauser and her pandemic boyfriend at a family beach house in Cape Cod brings to light family secrets.,Jodi Picocell,nyt:combined-print-and-e-book-fiction=2022-05-29;New York Times bestseller,Atria Books,2022,https://covers.openlibrary.org/b/id/12738669-L.jpg
9781250279255,Killing the Killers,The Secret War Against Terrorists,The 11th book in the conservative commentator’s Killing series gives an account of the global war against terrorists.,Bill O'Reilly;Martin Dugard,nyt:combined-print-and-e-book-nonfiction=2022-05-22;New York Times bestseller,St. Martin's Press,2022,https://covers.openlibrary.org/b/id/12729392-L.jpg
9780063037328,Finding Me,A Memoir,The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.,Viola Davis,nyt:combined-print-and-e-book-nonfiction=2022-05-15;New York Times bestseller,"Blackstone Audio, Incorporated",2022,https://covers.openlibrary.org/b/id/12726940-L.jpg
9780143127741,The Body Keeps the Score,"Brain, Mind, and Body in the Healing of Trauma",,Bessel A. Van Der Kolk,"Post-traumatic stress disorder;Treatment;Therapie;Physiopathology;Posttraumatisches Stresssyndrom;Neurowissenschaften;Therapy;Körpererfahrung;Psychisches Trauma;Stress Disorders, Post-Traumatic;Psychotherapie;Neurology;Mental Health;Neuroscience;Neuroplasticity;Violence;Trauma Survivors;Physical Violence Recovery;Alcoholism;Addiction;Combat;Veterans;Brain;sexual trauma;sexual abuse;abuse;Psychic trauma;Mind and body;nyt:science=2014-11-09;New York Times bestseller;New York Times reviewed",Penguin Books,"Sep 08, 2015",https://covers.openlibrary.org/b/id/8315367-L.jpg
